id_sede,nombre
EFRUS,"Sección Energía, Ciencia y Tecnología"
EFRUS,Sección Malvinas Antártida y Atlántico Sur
EFRUS,Sección Administrativa y Logística
EGREC,Sección Económica y Comercial
EGREC,Sección Administrativa
EGREC,Sección Cultural
EGREC,Sección Consular
EGUAT,Sección Consular
EGUAT,Sección Económica y Comercial
EGUAT,Agregada Administrativa
EHAIT,Administración
EHAIT,Sección Cultural
EHAIT,Sección de Prensa
EHAIT,Sección Consular
EHAIT,Cooperación Internacional
EHAIT,Sección Política
EHAIT,Sección Económica y Comercial
EHILE,Residencia Oficial
EHILE,Agregaduría de Gendarmería Nacional
EHILE,Agregaduría de Defensa y Aeronáutica
EHILE,Agregaduria Aeronáutica
EHILE,Sección Jurídica
EHILE,Sección Cultural
EHILE,Agregaduría Naval
EHILE,Secretaría Privada
EHILE,Sección Económica y Comercial
EHILE,Agregaduria Militar
EHILE,Jefe de Cancillería
EHILE,Sección Política
EHILE,Sección Administrativa
EHILE,Sección Prensa
EHOND,Sección Comercial
EHOND,Sección Encargado Cancillería
EHOND,Sección Consular
EHOND,Sección administrativa
EINDI,Sección Política
EINDI,Sección Agrícola
EINDI,Sección Económica y Comercial
EINDI,Jefe de Cancilleria
EIRAN,Sección Consular
EIRLA,Sección Cultural
EIRLA,Sección Política
EIRLA,Sección Consular
EIRLA,Sección Económica y Comercial
EISIA,Sección Cultural
EISIA,Sección Económica y Comercial
EISIA,Sección Política
EISIA,Agregado Administrativo
EISIA,Sección Consular
EISRA,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EISRA,Sección Política y Cultural
EISRA,Sección Económico-Comercial y de Cooperación
EITAL,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EITAL,Sección de Cooperación Internacional
EITAL,Sección Administrativa
EITAL,"Oficina de Derechos Humanos, Géneros y Diversidad"
EITAL,Sección Política
EITAL,Jefe de Cancillería
EITAL,Sección de Promoción Comercial y Turismo
EITAL,"Sección Cultural, Educación, Ciencia y Tecnología"
EITAL,"Sección de Diplomacia Pública, Comunicación y Prensa"
EITAL,Sección Económica y Promoción de Inversiones
EJAMA,Sección Económica y Comercial
EJAMA,Sección Consular
EJAMA,Sección Cultural
EJAPO,Administrativa
EJAPO,Sección Económica - Comercial
EJAPO,Cooperación
EJAPO,Política
EJAPO,Sección Consular
EJAPO,Sección Cultural
EKENY,Administración
EKENY,Asuntos Multilaterales (PNUMA-ONU Hábitat)
EKENY,Política y Cooperación
EKENY,Consular
EKENY,Cultural
EKENY,Económica - Comercial
EKUWA,Sección Económica y Comercial
EKUWA,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EKUWA,Sección Cultural
EKUWA,Sección Administrativa
EKUWA,Sección Consular
ELBIA,Sección Económica Comercial
ELBIA,Sección Consular
ELBNO,Sección Económica - Comercial e Inversiones
ELBNO,Sección Administrativa Contable
ELBNO,Sección Cultural
ELBNO,Sección Política
ELBNO,Sección Consular
EMARR,Sección Económica y Comercial
EMARR,Sección Consular
EMARR,Sección Cultural
EMARR,Sección Administrativa
EMARR,Sección Política
EMEXI,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EMEXI,Sección Comercial
EMEXI,Sección Cultural
EMEXI,Negociaciones Económicas Bilaterales
EMEXI,Sección Administrativa y Recursos Humanos
EMEXI,Jefe de Misión
EMEXI,Sección de Prensa
EMEXI,Sección Política
EMEXI,"Secciones Cooperación, Educación, Turismo y Belice"
EMOZA,Sección de Cooperación Internacional y Ayuda Humanitaria
EMOZA,Sección de Prensa y Difusión
EMOZA,Sección Cultural
EMOZA,Sección Consular
EMOZA,Sección Política
EMOZA,Jefe de Cancillería
EMOZA,Sección Económica y Comercial
EMOZA,Sección de Administración y Finanzas
EMSIA,Sección Política
EMSIA,Sección Consular
EMSIA,Sección Económica y Comercial
ENICA,SECCION CONSULAR
ENIGE,Sección Consular Embajada Argentina en Nigeria
ENIGE,Asuntos Culturales y Prensa
ENIGE,Sección Administrativa
ENIGE,Sección Económica y Comercial
ENIGE,Sección Política
ENIGE,Jefe de Cancillería
ENORU,Sección Cultural
ENORU,Sección Consular
ENORU,Sección Económica y Comercial
ENZEL,Sección Política
ENZEL,Sección Económica y Comercial
ENZEL,Sección Consular
EPAKI,Sección Consular
EPAKI,Sección Económica
EPBAJ,"Sección Económica y Comercial, Prensa y Turismo."
EPBAJ,Rep. Permanente OPAQ
EPBAJ,Sección Política/Jurídica
EPBAJ,Sección Consular
EPERU,Sección Administrativa
EPERU,Sección de Cooperación Judicial y Asuntos de Género
EPERU,"Sección Cultural, Educación y Prensa"
EPERU,Jefe de Cancillería
EPERU,Sección Política
EPERU,Agregaduria de Defensa y Aeronáutica
EPERU,Sección Económica y Comercial
EPNMA,Jefe de Cancillería
EPNMA,Sección Económica y Comercial
EPNMA,Agregada Administrativa
EPNMA,Sección Consular
EPOLO,Sección Cultural
EPOLO,Sección Comercial
EPOLO,Sección Consular de la Embajada de la República Argentina en la República de Polonia
EPORT,Agregado Administrativo
EPORT,JEFE DE SECCIÓN CONSULAR
EPORT,JEFE DE SECCIÓN CULTURAL
EPORT,JEFE DE CANCILLERIA
EPORT,JEFE DE SECCIÓN ECONÓMICA Y COMERCIAL
EQATR,Sección Política
EQATR,Seccion Administrativa
EQATR,Jefe de Cancillería
EQATR,Sección Comercial
EQATR,Sección Consular
ERICA,Sección Económica y Comercial
ERICA,Sección Consular
